Formula Workfunction HoF E_Hull IP(M) IP(X) IP(T) EA(M) EA(X) EA(T) EN(M) EN(X) EN(T) Length(x) r-(M) r-(X) r-(T)
Zr4C3O2 5.213692565 -1.64829792 0.107203973 6.6339 11.2603 13.618 0.427 1.262 1.439 1.33 2.55 3.44 330.6 79.0 59.6 41.4
Mo4N3O2 5.816440504 -0.697208253 0.294868262 7.0942 14.5341 13.618 0.749 -0.07 1.439 2.16 3.04 3.44 319.0 70.2 48.8 41.4
Ti4N3O2 5.66407381 -2.127643174 0.0 6.8282 14.5341 13.618 0.087 -0.07 1.439 1.54 3.04 3.44 300.3 48.9 48.8 41.4
Zr4N3O2 4.602333652 -2.267204327 0.088579449 6.6339 14.5341 13.618 0.427 -0.07 1.439 1.33 3.04 3.44 324.8 79.0 48.8 41.4
Mo4C3 4.800734589 0.354085777 0.5219373939999999 7.0942 11.2603 7.0942 0.749 1.262 0.749 2.16 2.55 2.16 307.7 70.2 59.6 70.2
Ti4C3 3.988366624 -0.5177763670000001 0.244752571 6.8282 11.2603 6.8282 0.087 1.262 0.087 1.54 2.55 1.54 309.7 48.9 59.6 48.9
Zr4C3 3.917392518 -0.553695766 0.196816861 6.6339 11.2603 6.6339 0.427 1.262 0.427 1.33 2.55 1.33 334.1 79.0 59.6 79.0
Mo4N3 5.59959685 -0.117566868 0.297680585 7.0942 14.5341 7.0942 0.749 -0.07 0.749 2.16 3.04 2.16 298.7 70.2 48.8 70.2
Ti4N3 4.651035323 -1.256317588 0.145214781 6.8282 14.5341 6.8282 0.087 -0.07 0.087 1.54 3.04 1.54 298.6 48.9 48.8 48.9
Zr4N3 4.34618742 -1.276421745 0.286819364 6.6339 14.5341 6.6339 0.427 -0.07 0.427 1.33 3.04 1.33 322.7 79.0 48.8 79.0
Mo2C 4.782409055 0.7863231890000001 0.9730561879999999 7.0942 11.2603 7.0942 0.749 1.262 0.749 2.16 2.55 2.16 300.9 70.2 59.6 70.2
Ta2C 4.77120532 0.31552792 0.961113835 7.89 11.2603 7.89 0.323 1.262 0.323 1.5 2.55 1.5 308.59999999999997 78.4 59.6 78.4
Mn2N 5.203527312 0.591096799 0.8163847340000001 7.434 14.5341 7.434 -0.5 -0.07 -0.5 1.55 3.04 1.55 262.1 38.9 48.8 38.9
W2N 5.337295524 0.870033183 0.984421337 7.98 14.5341 7.98 0.816 -0.07 0.816 2.36 3.04 2.36 277.7 74.6 48.8 74.6
Mn2CF2 6.293181457 -1.211706661 0.232771164 7.434 11.2603 17.4228 -0.5 1.262 3.401 1.55 2.55 3.98 296.4 38.9 59.6 36.0
Ta2CF2 3.887295424 -1.669997739 0.237166954 7.89 11.2603 17.4228 0.323 1.262 3.401 1.5 2.55 3.98 320.0 78.4 59.6 36.0
Y2CF2 3.689597479 -2.497009159 0.0 6.217 11.2603 17.4228 0.308 1.262 3.401 1.22 2.55 3.98 355.90000000000003 86.5 59.6 36.0
V2CO2 6.645078972 -1.436963878 0.185070279 6.746 11.2603 13.618 0.526 1.262 1.439 1.63 2.55 3.44 290.7 44.9 59.6 41.4
Cr2F2N 5.300603221 -1.503966995 0.144563059 6.766 14.5341 17.4228 0.6758 -0.07 3.401 1.66 3.04 3.98 301.6 42.7 48.8 36.0
Nb2F2N 5.030830694 -1.811325392 0.329717599 6.7588 14.5341 17.4228 0.894 -0.07 3.401 1.6 3.04 3.98 289.40000000000003 74.7 48.8 36.0
W2F2N 5.131545825 -0.927262758 0.447190597 7.98 14.5341 17.4228 0.816 -0.07 3.401 2.36 3.04 3.98 277.0 74.6 48.8 36.0
Mn2NO2 6.523022301 -1.004600619 0.11986881 7.434 14.5341 13.618 -0.5 -0.07 1.439 1.55 3.04 3.44 287.9 38.9 48.8 41.4
Nb2NO2 5.631049445 -1.916125921 0.153539308 6.7588 14.5341 13.618 0.894 -0.07 1.439 1.6 3.04 3.44 312.3 74.7 48.8 41.4
Ta2NO2 5.307607378 -1.876341566 0.240624586 7.89 14.5341 13.618 0.323 -0.07 1.439 1.5 3.04 3.44 313.7 78.4 48.8 41.4
Zr2NO2 4.730528298999999 -2.615726845 0.20386724 6.6339 14.5341 13.618 0.427 -0.07 1.439 1.33 3.04 3.44 325.2 79.0 48.8 41.4
