Formula Workfunction HoF E_Hull IP(M) IP(X) IP(T) EA(M) EA(X) EA(T) EN(M) EN(X) EN(T) Length(x) r-(M) r-(X) r-(T)
Ti3N2 4.59832161 -0.985172031 0.486436956 6.8282 14.5341 6.8282 0.087 -0.07 0.087 1.54 3.04 1.54 301.4 48.9 48.8 48.9
Zr3N2 4.346024058 -0.9720646270000001 0.506064571 6.6339 14.5341 6.6339 0.427 -0.07 0.427 1.33 3.04 1.33 318.7 79.0 48.8 79.0
Cr4C3F2 6.12708594 -0.649412156 0.209921387 6.766 11.2603 17.4228 0.6758 1.262 3.401 1.66 2.55 3.98 299.5 42.7 59.6 36.0
Nb4C3F2 4.754208319 -1.251591017 0.08959059400000001 6.7588 11.2603 17.4228 0.894 1.262 3.401 1.6 2.55 3.98 315.3 74.7 59.6 36.0
V4C3F2 5.646512711000001 -1.114250996 0.11000568 6.746 11.2603 17.4228 0.526 1.262 3.401 1.63 2.55 3.98 294.6 44.9 59.6 36.0
Cr4F2N3 5.184954822 -1.090314399 0.026373943 6.766 14.5341 17.4228 0.6758 -0.07 3.401 1.66 3.04 3.98 300.9 42.7 48.8 36.0
Sc4F2N3 3.623681847 -2.570074031 0.0 6.5614 14.5341 17.4228 0.189 -0.07 3.401 1.36 3.04 3.98 319.3 53.9 48.8 36.0
W4F2N3 4.360052348 -0.481655634 0.358188333 7.98 14.5341 17.4228 0.816 -0.07 3.401 2.36 3.04 3.98 326.6 74.6 48.8 36.0
Hf4C3O2 5.300369123 -1.67841771 0.101825269 6.825 11.2603 13.618 0.178 1.262 1.439 1.3 2.55 3.44 327.9 82.9 59.6 41.4
Sc4C3O2 6.305918995 -1.092481525 0.531614376 6.5614 11.2603 13.618 0.189 1.262 1.439 1.36 2.55 3.44 327.8 53.9 59.6 41.4
W4C3O2 5.745541999999999 -0.383283546 0.424455866 7.98 11.2603 13.618 0.816 1.262 1.439 2.36 2.55 3.44 312.5 74.6 59.6 41.4
Hf4N3O2 4.57867948 -2.209534906 0.09049357 6.825 14.5341 13.618 0.178 -0.07 1.439 1.3 3.04 3.44 322.3 82.9 48.8 41.4
Sc4N3O2 7.2312178 -2.250582645 0.240555403 6.5614 14.5341 13.618 0.189 -0.07 1.439 1.36 3.04 3.44 374.6 53.9 48.8 41.4
W4N3O2 5.253120612 -0.485606088 0.301040756 7.98 14.5341 13.618 0.816 -0.07 1.439 2.36 3.04 3.44 322.0 74.6 48.8 41.4
Hf4C3 4.470730484 -0.530324833 0.251278942 6.825 11.2603 6.825 0.178 1.262 0.178 1.3 2.55 1.3 330.1 82.9 59.6 82.9
Sc4C3 3.034834171 -0.321604606 0.186982895 6.5614 11.2603 6.5614 0.189 1.262 0.189 1.36 2.55 1.36 340.2 53.9 59.6 53.9
W4C3 5.092112133000001 0.547844669 0.72203417 7.98 11.2603 7.98 0.816 1.262 0.816 2.36 2.55 2.36 307.90000000000003 74.6 59.6 74.6
Hf4N3 4.471742401 -1.184688214 0.265211199 6.825 14.5341 6.825 0.178 -0.07 0.178 1.3 3.04 1.3 319.09999999999997 82.9 48.8 82.9
Sc4N3 3.922537798 -1.485609464 0.180582091 6.5614 14.5341 6.5614 0.189 -0.07 0.189 1.36 3.04 1.36 321.09999999999997 53.9 48.8 53.9
W4N3 5.340951144 0.625500662 0.7725711470000001 7.98 14.5341 7.98 0.816 -0.07 0.816 2.36 3.04 2.36 322.90000000000003 74.6 48.8 74.6
Hf2C 4.458777006 0.012178679 0.620092726 6.825 11.2603 6.825 0.178 1.262 0.178 1.3 2.55 1.3 322.0 82.9 59.6 82.9
Sc2C 4.098065208 -0.060786782 0.383649812 6.5614 11.2603 6.5614 0.189 1.262 0.189 1.36 2.55 1.36 331.4 53.9 59.6 53.9
W2C 5.153421153 0.957153417 1.09263414 7.98 11.2603 7.98 0.816 1.262 0.816 2.36 2.55 2.36 287.1 74.6 59.6 74.6
Cr2N 4.96687869 0.531967063 0.8918413829999999 6.766 14.5341 6.766 0.6758 -0.07 0.6758 1.66 3.04 1.66 267.5 42.7 48.8 42.7
Nb2N 4.624259039 0.028747362 1.031012153 6.7588 14.5341 6.7588 0.894 -0.07 0.894 1.6 3.04 1.6 313.09999999999997 74.7 48.8 74.7
Ti2N 4.582592153999999 -0.5885700779999999 0.7410265709999999 6.8282 14.5341 6.8282 0.087 -0.07 0.087 1.54 3.04 1.54 297.90000000000003 48.9 48.8 48.9
Zr2N 4.424409886 -0.5441575439999999 0.6876167879999999 6.6339 14.5341 6.6339 0.427 -0.07 0.427 1.33 3.04 1.33 323.4 79.0 48.8 79.0
Nb2CF2 4.342834041000001 -1.813100432 0.106837275 6.7588 11.2603 17.4228 0.894 1.262 3.401 1.6 2.55 3.98 319.5 74.7 59.6 36.0
V2CF2 5.383132905 -1.723631726 0.07929613 6.746 11.2603 17.4228 0.526 1.262 3.401 1.63 2.55 3.98 298.6 44.9 59.6 36.0
Hf2CO2 4.879111126000001 -2.307389343 0.167551164 6.825 11.2603 13.618 0.178 1.262 1.439 1.3 2.55 3.44 327.7 82.9 59.6 41.4
Nb2CO2 5.759951722999999 -1.727511018 0.110416072 6.7588 11.2603 13.618 0.894 1.262 1.439 1.6 2.55 3.44 312.7 74.7 59.6 41.4
Ta2CO2 5.522228129 -1.765860026 0.113381284 7.89 11.2603 13.618 0.323 1.262 1.439 1.5 2.55 3.44 313.3 78.4 59.6 41.4
Y2CO2 5.253460151000001 -1.792301385 0.7622103790000001 6.217 11.2603 13.618 0.308 1.262 1.439 1.22 2.55 3.44 356.4 86.5 59.6 41.4
Mn2F2N 5.623999412000001 -1.348883438 0.14394207 7.434 14.5341 17.4228 -0.5 -0.07 3.401 1.55 3.04 3.98 304.5 38.9 48.8 36.0
Ta2F2N 4.86534066 -1.617616224 0.506882731 7.89 14.5341 17.4228 0.323 -0.07 3.401 1.5 3.04 3.98 287.0 78.4 48.8 36.0
Zr2F2N 3.539576278 -2.591595542 0.081561892 6.6339 14.5341 17.4228 0.427 -0.07 3.401 1.33 3.04 3.98 327.4 79.0 48.8 36.0
W2NO2 6.825937572000001 -0.946453766 0.332244768 7.98 14.5341 13.618 0.816 -0.07 1.439 2.36 3.04 3.44 283.1 74.6 48.8 41.4
Nb2CH2O2 2.145794566 -1.12639898 0.189516924 6.7588 11.2603 13.017 0.894 1.262 1.827 1.6 2.55 2.82 320.3 74.7 59.6 41.4
V2CH2O2 1.792878429 -1.060472925 0.133232701 6.746 11.2603 13.017 0.526 1.262 1.827 1.63 2.55 2.82 300.9 44.9 59.6 41.4
Cr2H2NO2 1.941259428 -0.8936230759999999 0.229901136 6.766 14.5341 13.017 0.6758 -0.07 1.827 1.66 3.04 2.82 303.7 42.7 48.8 41.4
Nb2H2NO2 2.275744716 -1.144997503 0.333334803 6.7588 14.5341 13.017 0.894 -0.07 1.827 1.6 3.04 2.82 295.0 74.7 48.8 41.4
V2H2NO2 2.017324425 -1.19895202 0.163617715 6.746 14.5341 13.017 0.526 -0.07 1.827 1.63 3.04 2.82 305.7 44.9 48.8 41.4
Cr3C2H2O2 1.561346295 -0.52019423 0.289481003 6.766 11.2603 13.017 0.6758 1.262 1.827 1.66 2.55 2.82 301.1 42.7 59.6 41.4
Nb3C2H2O2 1.890096978 -0.929482595 0.236704168 6.7588 11.2603 13.017 0.894 1.262 1.827 1.6 2.55 2.82 317.6 74.7 59.6 41.4
V3C2H2O2 1.710174949 -0.852135548 0.190626664 6.746 11.2603 13.017 0.526 1.262 1.827 1.63 2.55 2.82 299.40000000000003 44.9 59.6 41.4
Mn3H2N2O2 1.733889322 -0.559976131 0.211420039 7.434 14.5341 13.017 -0.5 -0.07 1.827 1.55 3.04 2.82 297.2 38.9 48.8 41.4
Ta3H2N2O2 2.403405864 -1.039753363 0.408112124 7.89 14.5341 13.017 0.323 -0.07 1.827 1.5 3.04 2.82 293.7 78.4 48.8 41.4
Y3H2N2O2 1.789979678 -1.825248885 0.240291624 6.217 14.5341 13.017 0.308 -0.07 1.827 1.22 3.04 2.82 347.3 86.5 48.8 41.4
Hf3C2F2 2.944220046 -1.912199774 0.0 6.825 11.2603 17.4228 0.178 1.262 3.401 1.3 2.55 3.98 329.8 82.9 59.6 36.0
Sc3C2F2 5.213365605 -1.778598304 0.17054619 6.5614 11.2603 17.4228 0.189 1.262 3.401 1.36 2.55 3.98 324.5 53.9 59.6 36.0
W3C2F2 5.79068929 -0.559840416 0.48901482 7.98 11.2603 17.4228 0.816 1.262 3.401 2.36 2.55 3.98 287.59999999999997 74.6 59.6 36.0
Hf3C2O2 5.600769939 -1.812255631 0.216093609 6.825 11.2603 13.618 0.178 1.262 1.439 1.3 2.55 3.44 327.09999999999997 82.9 59.6 41.4
Sc3C2O2 3.947450403 -1.648476353 0.305691985 6.5614 11.2603 13.618 0.189 1.262 1.439 1.36 2.55 3.44 348.3 53.9 59.6 41.4
W3C2O2 6.093392542 -0.59126831 0.389190625 7.98 11.2603 13.618 0.816 1.262 1.439 2.36 2.55 3.44 295.5 74.6 59.6 41.4
Mn3F2N2 6.210243103 -0.8383312140000001 0.276248707 7.434 14.5341 17.4228 -0.5 -0.07 3.401 1.55 3.04 3.98 298.5 38.9 48.8 36.0
Ta3F2N2 5.007630856 -1.468564617 0.3983572970000001 7.89 14.5341 17.4228 0.323 -0.07 3.401 1.5 3.04 3.98 290.6 78.4 48.8 36.0
Y3F2N2 3.258692407 -2.614087649 0.007780714 6.217 14.5341 17.4228 0.308 -0.07 3.401 1.22 3.04 3.98 345.8 86.5 48.8 36.0
Mo3N2O2 7.07949312 -0.853568834 0.283542296 7.0942 14.5341 13.618 0.749 -0.07 1.439 2.16 3.04 3.44 283.8 70.2 48.8 41.4
Ti3N2O2 5.539232561 -2.232220166 0.031571562 6.8282 14.5341 13.618 0.087 -0.07 1.439 1.54 3.04 3.44 298.4 48.9 48.8 41.4
Zr3N2O2 4.427263342 -2.426937928 0.094492387 6.6339 14.5341 13.618 0.427 -0.07 1.439 1.33 3.04 3.44 323.8 79.0 48.8 41.4
Mo4C3H2O2 1.675662958 -0.393055163 0.282334547 7.0942 11.2603 13.017 0.749 1.262 1.827 2.16 2.55 2.82 314.9 70.2 59.6 41.4
Ti4C3H2O2 1.911851995 -1.21123392 0.096587912 6.8282 11.2603 13.017 0.087 1.262 1.827 1.54 2.55 2.82 309.1 48.9 59.6 41.4
Zr4C3H2O2 2.07405871 -1.273955784 0.190943538 6.6339 11.2603 13.017 0.427 1.262 1.827 1.33 2.55 2.82 334.0 79.0 59.6 41.4
Mo4H2N3O2 1.889694579 -0.546785406 0.29549047 7.0942 14.5341 13.017 0.749 -0.07 1.827 2.16 3.04 2.82 323.6 70.2 48.8 41.4
Ti4H2N3O2 2.235089544 -1.666870552 0.073928409 6.8282 14.5341 13.017 0.087 -0.07 1.827 1.54 3.04 2.82 302.5 48.9 48.8 41.4
Zr4H2N3O2 2.391718901 -1.706493465 0.220965988 6.6339 14.5341 13.017 0.427 -0.07 1.827 1.33 3.04 2.82 325.2 79.0 48.8 41.4
Cr3C2 4.551678031000001 0.537150899 0.617789432 6.766 11.2603 6.766 0.6758 1.262 0.6758 1.66 2.55 1.66 292.8 42.7 59.6 42.7
Nb3C2 4.40779032 -0.03271466 0.577765918 6.7588 11.2603 6.7588 0.894 1.262 0.894 1.6 2.55 1.6 317.6 74.7 59.6 74.7
V3C2 4.394605061 0.024455883 0.515501124 6.746 11.2603 6.746 0.526 1.262 0.526 1.63 2.55 1.63 297.1 44.9 59.6 44.9
Cr3N2 4.872036601 0.213849078 0.610528151 6.766 14.5341 6.766 0.6758 -0.07 0.6758 1.66 3.04 1.66 270.1 42.7 48.8 42.7
Nb3N2 5.071959079 -0.40135405 0.68765781 6.7588 14.5341 6.7588 0.894 -0.07 0.894 1.6 3.04 1.6 294.5 74.7 48.8 74.7
V3N2 5.136135176 -0.367901304 0.662069758 6.746 14.5341 6.746 0.526 -0.07 0.526 1.63 3.04 1.63 278.5 44.9 48.8 44.9
Hf4C3F2 3.197944428 -1.683930893 0.005973613000000001 6.825 11.2603 17.4228 0.178 1.262 3.401 1.3 2.55 3.98 330.7 82.9 59.6 36.0
Sc4C3F2 5.059853658 -1.463139164 0.157049302 6.5614 11.2603 17.4228 0.189 1.262 3.401 1.36 2.55 3.98 326.4 53.9 59.6 36.0
W4C3F2 5.342680175 -0.421023184 0.439913351 7.98 11.2603 17.4228 0.816 1.262 3.401 2.36 2.55 3.98 315.7 74.6 59.6 36.0
Hf4F2N3 3.197498319 -2.07670567 0.119567284 6.825 14.5341 17.4228 0.178 -0.07 3.401 1.3 3.04 3.98 322.6 82.9 48.8 36.0
Ta4F2N3 3.767598455 -1.292392481 0.4314310770000001 7.89 14.5341 17.4228 0.323 -0.07 3.401 1.5 3.04 3.98 321.5 78.4 48.8 36.0
Y4F2N3 2.815691735 -2.456640293 0.0 6.217 14.5341 17.4228 0.308 -0.07 3.401 1.22 3.04 3.98 346.7 86.5 48.8 36.0
Mn4C3O2 6.867468069 -0.235408842 0.393039942 7.434 11.2603 13.618 -0.5 1.262 1.439 1.55 2.55 3.44 292.09999999999997 38.9 59.6 41.4
Ta4C3O2 5.333658689 -1.249088308 0.063014189 7.89 11.2603 13.618 0.323 1.262 1.439 1.5 2.55 3.44 314.8 78.4 59.6 41.4
Y4C3O2 5.20902564 -1.024714245 0.558200978 6.217 11.2603 13.618 0.308 1.262 1.439 1.22 2.55 3.44 356.9 86.5 59.6 41.4
Mn4N3O2 6.603191803 -0.632000893 0.06780032400000001 7.434 14.5341 13.618 -0.5 -0.07 1.439 1.55 3.04 3.44 290.3 38.9 48.8 41.4
Ta4N3O2 5.005655022 -1.442691387 0.276947281 7.89 14.5341 13.618 0.323 -0.07 1.439 1.5 3.04 3.44 315.3 78.4 48.8 41.4
Y4N3O2 6.215337862 -2.149315151 0.234935171 6.217 14.5341 13.618 0.308 -0.07 1.439 1.22 3.04 3.44 351.2 86.5 48.8 41.4
Mn4C3 4.410789617 0.392503449 0.446415211 7.434 11.2603 7.434 -0.5 1.262 -0.5 1.55 2.55 1.55 294.0 38.9 59.6 38.9
Ta4C3 4.728994418 -0.263962036 0.357391345 7.89 11.2603 7.89 0.323 1.262 0.323 1.5 2.55 1.5 311.8 78.4 59.6 78.4
Y4C3 3.070247734 -0.15628904 0.187341362 6.217 11.2603 6.217 0.308 1.262 0.308 1.22 2.55 1.22 363.6 86.5 59.6 86.5
Mn4N3 5.612002702000001 -0.004195302 0.188908643 7.434 14.5341 7.434 -0.5 -0.07 -0.5 1.55 3.04 1.55 285.9 38.9 48.8 38.9
Ta4N3 4.928066065 -0.416915828 0.6992832290000001 7.89 14.5341 7.89 0.323 -0.07 0.323 1.5 3.04 1.5 313.5 78.4 48.8 78.4
Y4N3 4.182844139 -1.299303 0.187096604 6.217 14.5341 6.217 0.308 -0.07 0.308 1.22 3.04 1.22 346.8 86.5 48.8 86.5
Mn2C 4.78590294 0.69818154 0.75984666 7.434 11.2603 7.434 -0.5 1.262 -0.5 1.55 2.55 1.55 284.6 38.9 59.6 38.9
Y2C 3.827384573 0.037016926 0.365738361 6.217 11.2603 6.217 0.308 1.262 0.308 1.22 2.55 1.22 354.4 86.5 59.6 86.5
Hf2N 4.551067419 -0.440404735 0.6872948090000001 6.825 14.5341 6.825 0.178 -0.07 0.178 1.3 3.04 1.3 318.1 82.9 48.8 82.9
Sc2N 4.312652488 -0.8086488470000001 0.487277918 6.5614 14.5341 6.5614 0.189 -0.07 0.189 1.36 3.04 1.36 317.9 53.9 48.8 53.9
V2N 4.742742945 -0.06222382799999999 0.8894400170000001 6.746 14.5341 6.746 0.526 -0.07 0.526 1.63 3.04 1.63 290.4 44.9 48.8 44.9
Hf2CF2 3.630109062 -2.260407471 0.039848441 6.825 11.2603 17.4228 0.178 1.262 3.401 1.3 2.55 3.98 326.79999999999995 82.9 59.6 36.0
Sc2CF2 4.515987635 -2.541265344 0.0 6.5614 11.2603 17.4228 0.189 1.262 3.401 1.36 2.55 3.98 326.7 53.9 59.6 36.0
W2CF2 5.674093832000001 -0.794890777 0.59221812 7.98 11.2603 17.4228 0.816 1.262 3.401 2.36 2.55 3.98 284.6 74.6 59.6 36.0
Mo2CO2 6.365433187000001 -0.9580548609999999 0.307812663 7.0942 11.2603 13.618 0.749 1.262 1.439 2.16 2.55 3.44 309.3 70.2 59.6 41.4
Ti2CO2 5.661587764 -2.06105995 0.11185565 6.8282 11.2603 13.618 0.087 1.262 1.439 1.54 2.55 3.44 303.2 48.9 59.6 41.4
Zr2CO2 4.816504628 -2.287543747 0.171881209 6.6339 11.2603 13.618 0.427 1.262 1.439 1.33 2.55 3.44 330.0 79.0 59.6 41.4
Mo2F2N 5.613111015 -1.191554128 0.265181734 7.0942 14.5341 17.4228 0.749 -0.07 3.401 2.16 3.04 3.98 277.4 70.2 48.8 36.0
Ti2F2N 4.449904893 -2.561657971 0.000146237 6.8282 14.5341 17.4228 0.087 -0.07 3.401 1.54 3.04 3.98 304.7 48.9 48.8 36.0
Hf2NO2 4.607507528999999 -2.583980945 0.20283086 6.825 14.5341 13.618 0.178 -0.07 1.439 1.3 3.04 3.44 323.0 82.9 48.8 41.4
Sc2NO2 7.271891038 -2.414489714 0.5144466560000001 6.5614 14.5341 13.618 0.189 -0.07 1.439 1.36 3.04 3.44 324.2 53.9 48.8 41.4
Y2NO2 6.314310967000001 -2.385924838 0.518419445 6.217 14.5341 13.618 0.308 -0.07 1.439 1.22 3.04 3.44 353.4 86.5 48.8 41.4
Hf2CH2O2 2.328544331 -1.438597866 0.343651126 6.825 11.2603 13.017 0.178 1.262 1.827 1.3 2.55 2.82 328.79999999999995 82.9 59.6 41.4
Sc2CH2O2 1.347678248 -1.557127766 0.395849969 6.5614 11.2603 13.017 0.189 1.262 1.827 1.36 2.55 2.82 330.0 53.9 59.6 41.4
W2CH2O2 2.476369027 -0.429226173 0.529758018 7.98 11.2603 13.017 0.816 1.262 1.827 2.36 2.55 2.82 291.5 74.6 59.6 41.4
Hf2H2NO2 2.654117169 -1.559102136 0.431477725 6.825 14.5341 13.017 0.178 -0.07 1.827 1.3 3.04 2.82 326.1 82.9 48.8 41.4
Sc2H2NO2 2.043230623 -1.900707201 0.261553526 6.5614 14.5341 13.017 0.189 -0.07 1.827 1.36 3.04 2.82 322.0 53.9 48.8 41.4
W2H2NO2 2.579341907 -0.530983635 0.490016771 7.98 14.5341 13.017 0.816 -0.07 1.827 2.36 3.04 2.82 281.3 74.6 48.8 41.4
